tv,radio,newspaper,sales
203.3,38.5,32.8,16220.0
149.0,39.5,56.9,12758.0
248.5,26.3,78.2,15826.0
14.3,12.8,72.2,5964.0
243.4,49.8,67.9,17671.0
171.9,5.3,92.9,13838.0
92.8,20.7,86.7,9442.0
18.8,7.7,92.5,7059.0
297.2,25.4,4.2,18898.0
7.0,40.3,39.4,4744.0
232.1,23.7,58.3,17432.0
225.3,21.7,46.2,17098.0
116.3,16.6,67.9,10715.0
150.8,3.8,98.7,12206.0
279.0,36.2,15.4,18196.0
121.7,37.6,33.3,12149.0
292.3,30.8,95.3,18964.0
159.7,45.1,42.7,14585.0
32.6,6.7,41.7,6731.0
244.9,10.0,87.1,15460.0
67.4,42.4,4.2,10015.0
168.5,33.1,12.0,14106.0
91.2,25.8,12.7,8095.0
245.8,38.6,99.0,17899.0
249.3,38.8,8.9,17988.0
70.4,27.7,40.2,9107.0
195.2,34.5,89.1,14785.0
33.1,12.5,38.4,8283.0
126.4,35.2,2.4,11095.0
33.6,20.0,41.9,9063.0
47.5,30.9,8.4,7384.0
67.6,30.0,59.1,10179.0
145.6,30.5,46.8,14507.0
27.9,35.2,35.6,6206.0
74.3,3.8,84.9,9363.0
6.9,10.6,91.0,5364.0
270.1,14.9,49.5,18652.0
167.9,48.3,44.8,15665.0
54.4,32.9,91.8,10669.0
279.0,8.7,87.9,19283.0
164.9,34.1,84.7,13536.0
17.3,42.1,64.4,8085.0
159.8,45.0,53.2,16442.0
193.8,10.4,96.5,15778.0
241.2,47.4,29.2,19655.0
251.3,11.6,30.6,17975.0
79.5,7.7,10.1,7685.0
290.6,31.5,40.3,18972.0
142.5,1.8,51.8,12460.0
82.9,39.8,10.4,9062.0
167.1,7.1,33.5,13615.0
116.3,4.3,42.2,8674.0
65.1,40.9,98.9,9605.0
275.1,48.2,97.7,19929.0
282.1,38.1,11.6,17063.0
252.1,41.0,41.2,18359.0
132.7,46.8,78.6,13706.0
216.3,20.7,61.4,16628.0
256.1,15.9,70.5,15754.0
28.3,35.4,85.8,6378.0
125.9,31.4,35.6,12973.0
194.3,34.3,70.0,16308.0
293.1,35.7,64.0,18571.0
213.1,35.8,6.6,14416.0
192.8,11.1,66.5,15362.0
65.6,4.2,5.1,6200.0
91.5,25.0,23.0,10699.0
52.2,47.0,11.0,7220.0
94.7,36.7,23.2,9094.0
217.0,8.2,95.1,15627.0
287.6,3.3,86.1,19184.0
9.7,29.2,29.3,7195.0
97.2,29.2,95.3,10910.0
19.4,33.7,12.1,6116.0
263.1,12.1,18.1,16518.0
209.7,22.5,45.5,15602.0
248.8,35.0,5.5,17987.0
275.9,7.9,41.1,16989.0
50.2,9.4,57.0,7152.0
143.7,21.9,77.9,11927.0
166.1,12.5,76.5,13299.0
157.3,46.0,99.9,13024.0
217.5,9.5,52.9,15330.0
247.6,20.0,83.2,17374.0
74.4,40.9,72.3,10453.0
36.1,1.9,76.9,7529.0
186.1,33.4,29.3,13276.0
76.9,0.7,56.6,8829.0
248.9,46.4,80.8,18448.0
142.3,5.7,54.5,11165.0
208.9,7.6,85.5,14664.0
109.7,30.4,50.4,12500.0
35.5,42.4,25.2,6029.0
93.2,21.8,11.2,12074.0
53.1,23.3,25.8,9442.0
73.7,41.8,61.8,9580.0
165.6,25.5,46.0,15078.0
109.7,23.0,74.1,10040.0
224.7,14.7,37.7,16269.0
196.2,18.1,77.0,13372.0
